parse_unit_id,best_canonical_index,best_jaccard
﻿Ten maidens took their lamps and went to meet the bridegroom.,0,1.000000
"Five of them were foolish, and five were wise.",1,1.000000
"For when the foolish took their lamps, they took no oil with them;",2,1.000000
but the wise took flasks of oil with their lamps.,3,1.000000
"As the bridegroom was delayed, they all slumbered and slept.",4,1.000000
"But at midnight there was a cry: “Behold, the bridegroom! Come out to meet him.”",5,1.000000
Then all those maidens rose and trimmed their lamps.,6,1.000000
"And the foolish said to the wise, “Give us some of your oil, for our lamps are going out.”",7,1.000000
"But the wise replied, “Perhaps there will not be enough for us and for you;",8,0.700000
go rather to the dealers and buy for yourselves.”,8,0.450000
"And while they went to buy, the bridegroom came, and those who were ready went in with him to the marriage feast,",9,0.857143
and the door was shut.,4,0.250000
"Afterward the other maidens came also, saying, “Lord, lord, open to us.”",10,1.000000
"But he replied, ""Truly, I say to you, I do not know you.”",11,1.000000
